"ID_product"|"ID_category"
"724238"|"26"
"14757026"|"294"
"9825134"|"12"
"8982278"|"97"
"12332240"|"200"
"17412392"|"490"
"2170340"|"22"
"15913286"|"22"
"61961"|"12"
"16696124"|"125"
"11566370"|"158"
"1629422"|"158"
"8599700"|"356"
"16267934"|"260"
"52217"|"399"
"13751336"|"51"
"16876472"|"374"
"4037240"|"397"
"15220118"|"447"
"7743194"|"216"
"1163810"|"227"
"619028"|"12"
"2232626"|"30"
"17056358"|"438"
"17471318"|"459"
"9581408"|"459"
"18295106"|"496"
"14815238"|"205"
"18172004"|"278"
"18202580"|"252"
"13630502"|"216"
"180737"|"444"
"776108"|"490"
"15599798"|"497"
"1949672"|"482"
"13650746"|"501"
"11591024"|"212"
"1306568"|"298"
"9072116"|"302"
"943394"|"8"
"13965662"|"205"
"11566286"|"446"
"14717840"|"456"
"1800698"|"504"
"8049710"|"492"
"8721794"|"212"
"16032104"|"260"
"15783758"|"459"
"9852770"|"490"
"4130942"|"284"
"15750914"|"467"
"396134"|"182"
"1590698"|"38"
"1011434"|"288"
"1325720"|"38"
"18393470"|"182"
"10812764"|"260"
"1435760"|"292"
"200519"|"18"
"16639970"|"260"
"7098200"|"260"
"18744590"|"385"
"93713"|"182"
"2184998"|"22"
"15721178"|"34"
"16288094"|"178"
"1418540"|"158"
"419780"|"104"
"82331"|"180"
"17241872"|"262"
"19129226"|"212"
"1088420"|"306"
"3954416"|"332"
"16216652"|"492"
"405248"|"504"
"4230146"|"294"
"14224256"|"302"
"11025830"|"38"
"13943444"|"385"
"422636"|"461"
"187457"|"504"
"2523266"|"1"
"4227626"|"1"
"6641660"|"292"
"13187402"|"456"
"4404236"|"1"
"16092542"|"490"
"1390736"|"145"
"5399237"|"54"
"1475450"|"442"
"7359440"|"123"
"16267346"|"260"
"4923314"|"276"
"17445656"|"203"
"67253"|"385"
"11774354"|"67"
"934826"|"192"
"84683"|"8"
"3904100"|"77"
"8977574"|"187"
"4198982"|"20"
"18208418"|"98"
"602438"|"288"
"15584300"|"385"
"9537560"|"397"
"123995"|"467"
"10954010"|"22"
"4470554"|"212"
"18706538"|"225"
"12414056"|"359"
"12599570"|"508"
"12026900"|"100"
"4281932"|"139"
"9128102"|"294"
"677912"|"504"
"11582456"|"260"
"16038152"|"401"
"995684"|"471"
"4989758"|"24"
"13109156"|"236"
"17501726"|"315"
"256190"|"494"
"10270166"|"397"
"1432190"|"490"
"15770234"|"32"
"6027410"|"403"
"3753698"|"108"
"89639"|"456"
"14746610"|"496"
"11487284"|"22"
"11816060"|"139"
"11989898"|"1"
"3864998"|"262"
"4750358"|"456"
"2609996"|"504"
"17886572"|"64"
"7496402"|"216"
"826760"|"494"
"12861062"|"393"
"17847680"|"118"
"8779544"|"413"
"18186074"|"278"
"5496047"|"216"
"18163016"|"227"
"12783488"|"12"
"2089490"|"212"
"4890932"|"292"
"1894274"|"306"
"18160328"|"497"
"9826604"|"212"
"12398810"|"312"
"595298"|"205"
"5580551"|"413"
"4357448"|"438"
"5218028"|"496"
"308270"|"490"
"16609268"|"218"
"9785864"|"178"
"5151668"|"401"
"15730712"|"192"
"4917308"|"504"
"197201"|"38"
"637088"|"227"
"148607"|"139"
"14427578"|"432"
"12347024"|"356"
"13666706"|"430"
"1088378"|"58"
"651830"|"158"
"145289"|"486"
"9203912"|"129"
"17273750"|"294"
"3099422"|"496"
"239075"|"504"
"1643534"|"446"
"5527547"|"18"
"1512326"|"352"
"12124676"|"98"
"17057072"|"300"
"34724"|"393"
"16712378"|"260"
"197327"|"8"
"2162654"|"139"
"820712"|"359"
"124457"|"292"
"4583282"|"272"
"418982"|"490"
"564344"|"1"
"16029710"|"200"
"18260540"|"463"
"7408160"|"152"
"15793838"|"100"
"247328"|"123"
"5757686"|"459"
"14066546"|"490"
"12584576"|"260"
"725078"|"288"
"8281130"|"341"
"9356414"|"16"
"16820738"|"158"
"5615579"|"262"
"16295444"|"260"
"13783004"|"118"
"11706440"|"506"
"215093"|"182"
"26156"|"449"
"13958144"|"1"
"7241378"|"260"
"17044976"|"276"
"11447888"|"506"
"3380066"|"104"
"606680"|"104"
"109379"|"178"
"2402390"|"262"
"18995372"|"170"
"1988858"|"205"
"1931234"|"447"
"10365464"|"145"
"2404952"|"438"
"3226409"|"104"
"4190918"|"397"
"161123"|"38"
"19015952"|"200"
"6699368"|"64"
"86615"|"387"
"55283"|"504"
"5069768"|"482"
"1702628"|"98"
"7919720"|"385"
"12048656"|"44"
"14705450"|"72"
"9376826"|"187"
"69395"|"504"
"3928796"|"145"
"1028948"|"168"
"15975782"|"80"
"2921552"|"81"
"1428830"|"72"
"17462960"|"385"
"8620070"|"158"
"639818"|"482"
"874010"|"196"
"17054888"|"456"
"880478"|"504"
"5683997"|"282"
"17785310"|"51"
"12700706"|"292"
"8254292"|"294"
"1705946"|"482"
"12860852"|"100"
"3903848"|"152"
"7084802"|"442"
"11553812"|"203"
"3738578"|"262"
"882620"|"385"
"5526245"|"12"
"16639676"|"12"
"12745688"|"356"
"3037472"|"1"
"11565866"|"8"
"213917"|"182"
"6163238"|"363"
"14765930"|"1"
"235127"|"182"
"13922948"|"459"
"1643366"|"504"
"6192848"|"42"
"16077884"|"430"
"20360"|"12"
"11549024"|"8"
"4139804"|"290"
"287060"|"444"
"125339"|"12"
"146171"|"504"
"5418893"|"294"
"16263524"|"347"
"16243826"|"449"
"11746004"|"494"
"14132192"|"8"
"18797972"|"389"
"4688744"|"497"
"473204"|"288"
"10544300"|"34"
"2926046"|"42"
"6899120"|"60"
"4469546"|"123"
"781946"|"436"
"9289256"|"158"
"6366392"|"168"
"8125100"|"176"
"10411664"|"190"
"14750390"|"12"
"63473"|"27"
"3796118"|"496"
"15966794"|"8"
"927056"|"182"
"16979750"|"274"
"15092270"|"506"
"7762178"|"410"
"665228"|"504"
"12566222"|"212"
"6533342"|"288"
"3255830"|"145"
"2370932"|"1"
"1071788"|"51"
"11743610"|"192"
"11143514"|"490"
"14221610"|"190"
"4239974"|"397"
"10964594"|"415"
"2942804"|"145"
"1320134"|"200"
"13573256"|"459"
"144029"|"184"
"17198318"|"192"
"13772672"|"496"
"3098"|"32"
"16265834"|"218"
"431246"|"104"
"6382772"|"356"
"2553674"|"212"
"8481932"|"506"
"38126"|"123"
"12596672"|"391"
"6143876"|"415"
"15885692"|"486"
"3413"|"8"
"17051528"|"203"
"601556"|"288"
"104507"|"397"
"10808732"|"236"
"7544114"|"1"
"14122322"|"216"
"117737"|"196"
"17194538"|"1"
"12666980"|"192"
"17214782"|"465"
"197831"|"129"
"392564"|"104"
"5753318"|"104"
"5013110"|"294"
"17409494"|"312"
"1008914"|"306"
"1903640"|"205"
"14051342"|"314"
"4847210"|"387"
"6489620"|"266"
"5194130"|"272"
"15706982"|"182"
"17402732"|"34"
"15395384"|"190"
"8908736"|"430"
"29012"|"18"
"4234598"|"145"
"6250682"|"504"
"10766984"|"385"
"145793"|"438"
"2355980"|"94"
"9825428"|"218"
"15476780"|"227"
"1451174"|"504"
"8247068"|"192"
"4328552"|"315"
"6453668"|"64"
"2919284"|"145"
"4876904"|"389"
"3986000"|"456"
"15786236"|"459"
"4919366"|"154"
"362450"|"258"
"8379662"|"385"
"16983992"|"64"
"16328708"|"196"
"4821128"|"120"
"2122502"|"288"
"5349299"|"294"
"1045496"|"504"
"18201110"|"32"
"5738051"|"192"
"4025354"|"200"
"9526430"|"212"
"3740300"|"95"
"5931272"|"467"
"730622"|"504"
"17463128"|"260"
"17598200"|"496"
"2097974"|"38"
"3140834"|"182"
"7383716"|"187"
"15933992"|"397"
"15518150"|"168"
