CUST_INTRL_ID|CUST_TYPE_CD|JRSDCN_CD|TOTAL_TURNOVER|TOTAL_IN|TOTAL_IN_CT|TOTAL_OUT|TOTAL_OUT_CT|TOTAL_SAVING|SAVING_RATIO|STDDEV_MONTHLY|STABLE_INCOME|DORMACY_MONTHS|CASH_IN_RATIO|CASH_OUT_RATIO|WIRE_IN_RATIO|WIRE_OUT_RATIO
1001|FIN|FINS|31510027|15765924.67|56.25|15744102.25|6.08|21822.420000000002|0|2.58|1|0|0.02|0|0.79|0.01
1002|FIN|FINS|19112|13166.67|0.58|5945|6.67|7221.67|0.38|1.96|0.8300000000000001|0|0|0.6900000000000001|1|0.08
1003|FIN|FINS|26318848|13235607.42|18|13083240.83|13.58|152366.58000000002|0.01|0.32|1|0|0.61|0.18|0.38|0.19
1004|FIN|FINS|97794612|64927307.62|21.67|32867304.79|12|32060002.82|0.33|1.22|0.8300000000000001|0|0.34|0|0.66|0.33
1005|FIN|FINS|19782|16362.5|0.25|3419.08|1|12943.42|0.65|2.04|0.92|0|0|0.31|0.24|0.12
1006|FIN|FINS|7074948|4047630.07|15.25|3027317.52|1|1020312.54|0.14|0.36|1|0|0.68|0|0.27|0
1007|FIN|FINS|89044180|89044179.83|0.08|0|0|89044179.83|1|0|0.08|9|0|0|1|0
1008|FIN|FINS|72600046|104420.58|1|72495624.95|412.5|-72391204.37|-1|0.4|1|0|0|0|0.17|0.23
1009|FIN|FINS|24352803|11684084.4|8.25|12668719.08|3.67|-984634.68|-0.04|0.8300000000000001|1|0|0.48|0.04|0.26|0.13
1010|FIN|FINS|1666667500|833334166.67|0.17|833333333.33|0.08|833.33|0|0|0.17|2|0|0|1|0
1011|FIN|FINS|417|416.67|0.08|0|0|416.67|1|0|0.08|5|0|0|0|0
1012|FIN|FINS|5505140|2682386.25|16.75|2822754|5.33|-140367.75|-0.03|0.46|1|0|0.06|0.98|0.62|0.01
1013|FIN|FINS|1773591|874124.8300000001|3.08|899466.5800000001|41.5|-25341.75|-0.01|0.36|1|0|0|0.06|0.12|0.36
1014|FIN|FINS|3891135|1841135.17|1.42|205e4|1.75|-208864.83000000002|-0.05|1.5|0.8300000000000001|0|0|0|0.5|0.11
1015|FIN|FINS|12666402|6325e3|5.33|6341402.25|87|-16402.25|0|0.41000000000000003|1|0|0|0|1|0.26
1016|FIN|FINS|224093|114959|0.67|109134|9.5|5825|0.03|1.42|0.67|0|0|0.54|0.93|0.14
1017|FIN|FINS|46704235|26957650|1.67|19746585.33|1.25|7211064.67|0.15|1.52|1|0|0|0|0.88|0.21
1018|FIN|FINS|31609|19125|0.33|12484.17|5.08|6640.83|0.21|1.3800000000000001|1|0|0|0.74|1|0.08
1019|FIN|FINS|34195781|16944604.94|21.5|17251176.17|10.58|-306571.23|-0.01|0.6900000000000001|1|0|0.17|0.29|0.54|0.3
1020|FIN|FINS|17978111|9069916.67|19.92|8908194.25|7.42|161722.42|0.01|1.16|1|0|0.99|0.19|0.01|0.4
1021|FIN|FINS|60833|0|0|60833.33|1.08|-60833.33|-1|1.23|0.67|0|0|0.51|0|0.48
1022|FIN|FINS|32610695|16395496.76|7.42|16215198.34|567.5|180298.42|0.01|0.49|1|0|0|0|0.99|0.43
1023|FIN|FINS|68816175|2665081.83|13.25|66151092.67|1.92|-63486010.83|-0.92|2.69|0.67|3|0|0.02|0.46|0.9400000000000001
1024|FIN|FINS|2500|2500|0.25|0|0|2500|1|0|0.08|10|0|0|0|0
1025|FIN|FINS|904|0|0|904.02|0.08|-904.02|-1|0|0.08|6|0|0|0|0
1026|FIN|FINS|42335354|34151.54|1.42|42301202.79|958.9200000000001|-42267051.25|-1|0.37|1|0|0|0|0.5|0.59
1027|FIN|FINS|171192|85833.33|1.17|85358.42|16.75|474.92|0|0.7000000000000001|1|0|0|0.36|0.47000000000000003|0.18
1028|FIN|FINS|86651541|58244768.48|4.67|28406772.41|7.67|29837996.06|0.34|1.96|0.67|0|0|0|0.96|0.32
1029|FIN|FINS|13943113|7124635.83|3.5|6818476.82|0.58|306159.01|0.02|1.67|0.92|0|0.53|0.06|0.47000000000000003|0.24
1030|FIN|FINS|32701010|201239.73|9.33|32499770.64|2226.67|-32298530.91|-0.99|0.64|1|0|0|0|0.26|0.5
1031|FIN|FINS|347350|0|0|347349.99|0.08|-347349.99|-1|0|0.08|3|0|0|0|0
1032|FIN|FINS|10840240|5249209.17|2.33|5591030.92|10.75|-341821.75|-0.03|1.24|1|0|0|0|0.87|0.36
1033|FIN|FINS|168420|68419.92|2.58|1e5|0.5|-31580.08|-0.19|0.85|0.92|0|0|0|0.61|0.59
1034|FIN|FINS|13387776|591697.51|9.83|12796078.28|4.5|-12204380.77|-0.91|1.59|0.75|0|0|0|0|0.9500000000000001
1035|FIN|FINS|7539347|3848554.33|2.67|3690792.42|4.92|157761.92|0.02|1.41|1|0|0|0|0.9400000000000001|0.3
1036|FIN|FINS|238501478|119332828.83|1440.75|119168649.08|735.83|164179.75|0|1.07|0.92|0|0|0|0|0.01
1037|FIN|FINS|6206460|3110241.75|18.92|3096217.75|7|14024|0|1.24|1|0|0.07|0.67|0.9|0.16
1038|FIN|FINS|32274134|32190892.75|198.33|83241.17|0.92|32107651.58|0.99|0.5|1|0|0.9500000000000001|0|0|0
1039|FIN|FINS|31080523|30023498.17|95.75|1057025.08|1.17|28966473.08|0.93|0.55|1|0|0.34|0.03|0.3|0
1040|FIN|FINS|16303244|8320994.08|6.25|7982249.92|7.83|338744.17|0.02|0.96|1|0|0.04|0.96|0.87|0
1041|FIN|FINS|192748|61700.92|0.5|131046.67|2.08|-69345.75|-0.36|0.47000000000000003|1|0|0.01|1|0.99|0
1042|FIN|FINS|370622813|370622812.5|0.17|0|0|370622812.5|1|0|0.08|3|0|0|0|0
1043|FIN|FINS|14209143|7201881.5|79.08|7007261.42|2.17|194620.08000000002|0.01|1.31|1|0|0.02|0|0|0.01
1044|FIN|FINS|142473628|142473627.92|0.08|0|0|142473627.92|1|0|0.08|10|0|0|1|0
1045|FIN|FINS|19777127|9877933.61|17.42|9899193.33|13.33|-21259.72|0|0.85|1|0|0.19|0.44|0.65|0.28
1046|FIN|FINS|2869834|1386750|1.33|1483083.67|1.58|-96333.67|-0.03|0.73|0.8300000000000001|1|0|0|0.14|0
1047|FIN|FINS|201711|91223.83|4.17|110487.25|5.25|-19263.420000000002|-0.1|0.9|1|0|0.72|0|0.04|0.46
1048|FIN|FINS|884810|452036.75|2.42|432773|13.5|19263.75|0.02|0.26|1|0|0|0|0.49|0.08
1049|FIN|FINS|10341582|4930786.63|7.83|5410795.67|6.67|-480009.03|-0.05|0.72|1|0|0.63|0.58|0.37|0.18
1050|FIN|FINS|6940707|3368516.32|8.67|3572191.08|9.75|-203674.76|-0.03|0.47000000000000003|1|0|0.04|0.8300000000000001|0.77|0.09
1051|FIN|FINS|19646|7187.5|0.42|12458.33|0.8300000000000001|-5270.83|-0.27|0.97|0.8300000000000001|0|0.59|1|0.41000000000000003|0
1052|FIN|FINS|6909470|367515.92|3.83|6541953.64|129.92000000000002|-6174437.73|-0.89|0.42|1|0|0|0|0|0.9500000000000001
1053|FIN|FINS|1|0.8300000000000001|0.08|0|0|0.8300000000000001|1|0|0.08|6|1|0|0|0
1054|FIN|FINS|32516|15470|1.25|17045.83|1.67|-1575.83|-0.05|1.24|0.92|0|0|0.77|0.53|0
1055|FIN|FINS|8343952|3709079.17|9.08|4634872.9|6|-925793.74|-0.11|0.96|0.8300000000000001|0|0.68|0.33|0.17|0.33
1056|FIN|FINS|8|8.33|0.08|0|0|8.33|1|0|0.08|10|1|0|0|0
1057|FIN|FINS|6207857|2975706.25|9.42|3232150.33|5.17|-256444.08000000002|-0.04|0.4|1|0|0.73|0.39|0.13|0.32
1058|FIN|FINS|238420591|180553919.22|2.83|57866671.99|45.67|122687247.23|0.51|1.99|0.67|0|0|0|0.98|0.18
1059|FIN|FINS|26152|17312.5|0.75|8839.92|1|8472.58|0.32|1.34|0.67|0|0|0.21|1|0.27
1060|FIN|FINS|117499212|59554856.15|6.67|57944355.67|3.33|1610500.48|0.01|1.3|1|0|0|0|0.08|0
1061|FIN|FINS|1667|1666.67|0.17|0|0|1666.67|1|0|0.17|2|0|0|0|0
1062|FIN|FINS|16965126|10324888.33|8.83|6640237.58|10.67|3684650.75|0.22|0.49|1|0|0.36|0.27|0.64|0
1063|FIN|FINS|120050383|61450941.69|14.5|58599440.98|2194|2851500.7199999997|0.02|0.8|1|0|0|0|0.97|0.33
